node1,node2,heuristic_disance,route_distance
Jodhpur,Bikaner,199,253
Jodhpur,Rajsamand,155,190
Rajsamand,Jodhpur,155,190
Rajsamand,Sikar,308,375
Bikaner,Jodhpur,199,253
Bikaner,Sri Ganganagar,216,241
Sri Ganganagar,Bikaner,216,241
Sri Ganganagar,Sikar,238,348
Sikar,Sri Ganganagar,238,348
Sikar,Rajsamand,308,375
Sikar,Una,441,575
Sikar,Jaipur,110,116
Una,Sikar,441,575
Una,Baghpat,294,348
Jaipur,Bundi,164,219
Jaipur,Delhi,237,286
Jaipur,Sikar,110,116
Bundi,Jaipur,164,219
Bundi,Kota,32,38
Bundi,Belagavi,1067,1245
Belagavi,Bundi,1067,1245
Belagavi,Hanamkonda,589,737
Belagavi,Calicut,526,647
Calicut,Belagavi,526,647
Delhi,Jaipur,237,286
Delhi,Faridabad,38,46
Delhi,Baghpat,29,55
Kota,Bundi,32,38
Kota,Bhopal,363,460
Kota,Agra,305,444
Baghpat,Una,294,348
Baghpat,Delhi,29,48
Baghpat,Aligarh,143,165
Faridabad,Agra,152,175
Faridabad,Delhi,38,46
Bhopal,Kota,267,341
Bhopal,Morena,363,460
Agra,Faridabad,152,178
Agra,Aligarh,80,91
Agra,Morena,75,82
Agra,Kota,305,401
Aligarh,Agra,80,91
Aligarh,Baghpat,143,165
Aligarh,Sitapur,258,306
Aligarh,Mahoba,399,444
Morena,Bhopal,363,460
Morena,Sagar,303,342
Morena,Agra,75,84
Sagar,Morena,303,342
Sagar,Balaghat,269,353
Balaghat,Sagar,269,353
Balaghat,Hanamkonda,426,538
Hanamkonda,Balaghat,426,538
Hanamkonda,Belagavi,589,737
Mahoba,Aligarh,399,444
Mahoba,Lucknow,202,229
Mahoba,Chitrakoot,99,121
Sitapur,Aligarh,258,306
Sitapur,Lucknow,83,88
Lucknow,Sitapur,83,88
Lucknow,Mahoba,202,229
Lucknow,Raebareli,74,78
Lucknow,Lakhimpur,122,131
Lakhimpur,Lucknow,122,131
Lakhimpur,Arrah,468,575
Raebareli,Lucknow,74,78
Raebareli,Prayagraj,106,123
Chitrakoot,Mahoba,99,121
Chitrakoot,Prayagraj,102,124
Prayagraj,Raebareli,106,123
Prayagraj,Chitrakoot,102,124
Prayagraj,Mirzapur,79,89
Mirzapur,Prayagraj,79,89
Mirzapur,Ghazipur,113,141
Arrah,Lakhimpur,468,595
Arrah,Rohtas,84,94
Ghazipur,Mirzapur,113,142
Ghazipur,Rohtas,72,94
Rohtas,Ghazipur,72,94
Rohtas,Arrah,84,94
Rohtas,Daudnagar,38,46
Daudnagar,Rohtas,38,46
Daudnagar,Patna,96,105
Daudnagar,Palamu,135,160
Palamu,Daudnagar,135,160
Palamu,Gaya,139,216
Palamu,Sarangarh,270,427
Sarangarh,Palamu,270,427
Patna,Daudnagar,96,105
Patna,Sitamarhi,116,131
Patna,Jehanabad,44,52
Gaya,Palamu,139,216
Gaya,Nawada,55,59
Jehanabad,Patna,44,52
Jehanabad,Nawada,66,90
Nawada,Jehanabad,66,90
Nawada,Gaya,55,59
Nawada,Bhagalpur,149,181
Sitamarhi,Patna,116,131
Sitamarhi,Madhepura,98,118
Madhepura,Sitamarhi,98,118
Madhepura,Araria,107,131
Araria,Madhepura,107,131
Araria,Bhagalpur,110,137
Bhagalpur,Nawada,149,181
Bhagalpur,Durgapur,193,264
Bhagalpur,Pakur,110,151
Bhagalpur,Araria,110,137
Durgapur,Bhagalpur,193,264
Pakur,Bhagalpur,110,151